Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C_1206_3216Metric","C_1206_3216Metric",0.590551,-2.559055,0.000000,bottom
"C2","C_0603_1608Metric","C_0603_1608Metric",0.885827,-2.559055,0.000000,bottom
"C8","C_0603_1608Metric","C_0603_1608Metric",1.338583,-0.413386,0.000000,bottom
"C11","C_0603_1608Metric","C_0603_1608Metric",0.413386,-2.539370,0.000000,bottom
"D1","D_SOD-123F","D_SOD-123F",0.370079,-2.401575,0.000000,bottom
"D2","D_SMA","D_SMA",0.856299,-2.401575,180.000000,bottom
"F1","Fuse_1812_4532Metric","Fuse_1812_4532Metric",0.588583,-2.401575,180.000000,bottom
"J1","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",0.102362,-2.677165,-90.000000,bottom
"J2","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",0.129921,-0.511811,-90.000000,bottom
"R1","R_0603_1608Metric","R_0603_1608Metric",1.114173,-2.401575,0.000000,bottom
"R2","R_0603_1608Metric","R_0603_1608Metric",1.255906,-2.401575,0.000000,bottom
"R3","R_0603_1608Metric","R_0603_1608Metric",1.200787,-0.472441,0.000000,bottom
"R4","R_0603_1608Metric","R_0603_1608Metric",1.200787,-0.354331,0.000000,bottom
"C3","C_1206_3216Metric","C_1206_3216Metric",1.417323,-1.594488,0.000000,top
"C4","C_0603_1608Metric","C_0603_1608Metric",1.633858,-0.787402,90.000000,top
"C5","C_0603_1608Metric","C_0603_1608Metric",1.633858,-0.649606,90.000000,top
"C6","C_0603_1608Metric","C_0603_1608Metric",1.259843,-0.669291,90.000000,top
"C7","C_0603_1608Metric","C_0603_1608Metric",1.633858,-0.944882,90.000000,top
"C9","C_0603_1608Metric","C_0603_1608Metric",1.633858,-1.082677,90.000000,top
"C10","C_0603_1608Metric","C_0603_1608Metric",2.027559,-2.814961,0.000000,top
"D3","LED_Avago_PLCC6_3x2.8mm","LED_Avago_PLCC6_3x2.8mm",2.204724,-2.677165,0.000000,top
"J3","PinHeader_1x04_P2.54mm_Vertical","PinHeader_1x04_P2.54mm_Vertical",1.811024,-0.137795,0.000000,top
"R5","R_0603_1608Metric","R_0603_1608Metric",1.397638,-1.244094,0.000000,top
"R6","R_0603_1608Metric","R_0603_1608Metric",1.535433,-1.244094,0.000000,top
"R7","R_0603_1608Metric","R_0603_1608Metric",2.027559,-2.716535,0.000000,top
"R8","R_0603_1608Metric","R_0603_1608Metric",2.141732,-2.539370,0.000000,top
"R9","R_0603_1608Metric","R_0603_1608Metric",2.271654,-2.539370,0.000000,top
"R10","R_0603_1608Metric","R_0603_1608Metric",2.401575,-2.539370,0.000000,top
"SW1","SW_SPST_PTS810","SW_SPST_PTS810",1.811024,-2.716535,0.000000,top
"U1","ESP32C3","XIAO_ESP32C3",0.925197,-1.850394,0.000000,top
"U2","SOIC-16_3.9x9.9mm_P1.27mm","SOIC-16_3.9x9.9mm_P1.27mm",1.437008,-0.826772,0.000000,top
"U3","Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad","Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad",2.440945,-1.732283,90.000000,top
