WARNING: java.io.tmpdir directory does not exist
2026-09-12 18:08:35.067 INFO   Freerouting v2.1.0 (build-date: 2025-04-12)
2026-09-12 18:08:35.125 WARN   Couldn't get screen resolution. If you are running in a headless environment, disable the GUI by setting gui.enabled to false.
2026-09-12 18:08:36.423 INFO   [671444\548EEF] Job '671444\548EEF' started at 2026-09-12T18:08:36.422956207Z
2026-09-12 18:08:36.607 INFO   New version available: v2.4.1
2026-09-12 18:08:38.165 INFO   [671444\548EEF] Auto-router pass #1 on board '08a2c521fccf82adc8f19e1c73354233' was completed in 1.50 seconds with the score of 891.83 (18 unrouted), using 0.86 CPU seconds and 315 MB memory.
2026-09-12 18:08:38.674 INFO   [671444\548EEF] Auto-router pass #2 on board '20c288003581925eaa954ecf4c4a2e2c' was completed in 0.47 seconds with the score of 891.83 (18 unrouted), using 2.64 CPU seconds and 856 MB memory.
2026-09-12 18:08:39.195 INFO   [671444\548EEF] Auto-router pass #3 on board 'd4d13fdd8648f211547fa0de60dcb14e' was completed in 0.50 seconds with the score of 891.83 (18 unrouted), using 2.64 CPU seconds and 856 MB memory.
2026-09-12 18:08:40.307 INFO   [671444\548EEF] Auto-router pass #4 on board '62006d59a453fad23af9c9c41cf10e60' was completed in 1.08 seconds with the score of 897.50 (17 unrouted), using 5.39 CPU seconds and 1522 MB memory.
2026-09-12 18:08:40.762 INFO   [671444\548EEF] Auto-router pass #5 on board '28f172941b0e279b65aea3de6f078041' was completed in 0.44 seconds with the score of 897.50 (17 unrouted), using 9.11 CPU seconds and 2324 MB memory.
2026-09-12 18:08:41.258 INFO   [671444\548EEF] Auto-router pass #6 on board '623c5eef4dbada32b108f3222a5aaed3' was completed in 0.48 seconds with the score of 897.50 (17 unrouted), using 9.11 CPU seconds and 2324 MB memory.
2026-09-12 18:08:41.684 INFO   [671444\548EEF] Auto-router pass #7 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.41 seconds with the score of 897.50 (17 unrouted), using 13.81 CPU seconds and 3111 MB memory.
2026-09-12 18:08:42.092 INFO   [671444\548EEF] Auto-router pass #8 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.40 seconds with the score of 897.50 (17 unrouted), using 13.81 CPU seconds and 3111 MB memory.
2026-09-12 18:08:42.430 INFO   [671444\548EEF] Auto-router pass #9 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.33 seconds with the score of 897.50 (17 unrouted), using 13.81 CPU seconds and 3111 MB memory.
2026-09-12 18:08:42.764 INFO   [671444\548EEF] Auto-router pass #10 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.33 seconds with the score of 897.50 (17 unrouted), using 19.50 CPU seconds and 3996 MB memory.
2026-09-12 18:08:43.087 INFO   [671444\548EEF] Auto-router pass #11 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.32 seconds with the score of 897.50 (17 unrouted), using 19.50 CPU seconds and 3996 MB memory.
2026-09-12 18:08:43.479 INFO   [671444\548EEF] Auto-router pass #12 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.39 seconds with the score of 897.50 (17 unrouted), using 26.18 CPU seconds and 4938 MB memory.
2026-09-12 18:08:43.861 INFO   [671444\548EEF] Auto-router pass #13 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.38 seconds with the score of 897.50 (17 unrouted), using 26.18 CPU seconds and 4938 MB memory.
2026-09-12 18:08:44.220 INFO   [671444\548EEF] Auto-router pass #14 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.35 seconds with the score of 897.50 (17 unrouted), using 26.18 CPU seconds and 4938 MB memory.
2026-09-12 18:08:44.571 INFO   [671444\548EEF] Auto-router pass #15 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.34 seconds with the score of 897.50 (17 unrouted), using 33.85 CPU seconds and 5799 MB memory.
2026-09-12 18:08:44.857 INFO   [671444\548EEF] Auto-router pass #16 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.28 seconds with the score of 897.50 (17 unrouted), using 33.85 CPU seconds and 5799 MB memory.
2026-09-12 18:08:45.122 INFO   [671444\548EEF] Auto-router pass #17 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.26 seconds with the score of 897.50 (17 unrouted), using 33.85 CPU seconds and 5799 MB memory.
2026-09-12 18:08:45.434 INFO   [671444\548EEF] Auto-router pass #18 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.31 seconds with the score of 897.50 (17 unrouted), using 33.85 CPU seconds and 5799 MB memory.
2026-09-12 18:08:45.759 INFO   [671444\548EEF] Auto-router pass #19 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.32 seconds with the score of 897.50 (17 unrouted), using 42.51 CPU seconds and 6920 MB memory.
2026-09-12 18:08:46.092 INFO   [671444\548EEF] Auto-router pass #20 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.33 seconds with the score of 897.50 (17 unrouted), using 42.51 CPU seconds and 6920 MB memory.
2026-09-12 18:08:46.402 INFO   [671444\548EEF] Auto-router pass #21 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.31 seconds with the score of 897.50 (17 unrouted), using 42.51 CPU seconds and 6920 MB memory.
2026-09-12 18:08:46.727 INFO   [671444\548EEF] Auto-router pass #22 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.32 seconds with the score of 897.50 (17 unrouted), using 52.16 CPU seconds and 7938 MB memory.
2026-09-12 18:08:47.073 INFO   [671444\548EEF] Auto-router pass #23 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.34 seconds with the score of 897.50 (17 unrouted), using 52.16 CPU seconds and 7938 MB memory.
2026-09-12 18:08:47.485 INFO   [671444\548EEF] Auto-router pass #24 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.41 seconds with the score of 897.50 (17 unrouted), using 62.80 CPU seconds and 8843 MB memory.
2026-09-12 18:08:47.861 INFO   [671444\548EEF] Auto-router pass #25 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.37 seconds with the score of 897.50 (17 unrouted), using 62.80 CPU seconds and 8843 MB memory.
2026-09-12 18:08:48.228 INFO   [671444\548EEF] Auto-router pass #26 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.36 seconds with the score of 897.50 (17 unrouted), using 62.80 CPU seconds and 8843 MB memory.
2026-09-12 18:08:48.597 INFO   [671444\548EEF] Auto-router pass #27 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.36 seconds with the score of 897.50 (17 unrouted), using 74.44 CPU seconds and 9707 MB memory.
2026-09-12 18:08:48.975 INFO   [671444\548EEF] Auto-router pass #28 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.37 seconds with the score of 897.50 (17 unrouted), using 74.44 CPU seconds and 9707 MB memory.
2026-09-12 18:08:49.308 INFO   [671444\548EEF] Auto-router pass #29 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.33 seconds with the score of 897.50 (17 unrouted), using 74.44 CPU seconds and 9707 MB memory.
2026-09-12 18:08:49.660 INFO   [671444\548EEF] Auto-router pass #30 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.35 seconds with the score of 897.50 (17 unrouted), using 87.08 CPU seconds and 10629 MB memory.
2026-09-12 18:08:49.980 INFO   [671444\548EEF] Auto-router pass #31 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.32 seconds with the score of 897.50 (17 unrouted), using 87.08 CPU seconds and 10629 MB memory.
2026-09-12 18:08:50.251 INFO   [671444\548EEF] Auto-router pass #32 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.27 seconds with the score of 897.50 (17 unrouted), using 87.08 CPU seconds and 10629 MB memory.
2026-09-12 18:08:50.579 INFO   [671444\548EEF] Auto-router pass #33 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.32 seconds with the score of 897.50 (17 unrouted), using 100.71 CPU seconds and 11673 MB memory.
2026-09-12 18:08:50.907 INFO   [671444\548EEF] Auto-router pass #34 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.32 seconds with the score of 897.50 (17 unrouted), using 100.71 CPU seconds and 11673 MB memory.
2026-09-12 18:08:51.231 INFO   [671444\548EEF] Auto-router pass #35 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.32 seconds with the score of 897.50 (17 unrouted), using 100.71 CPU seconds and 11673 MB memory.
2026-09-12 18:08:51.561 INFO   [671444\548EEF] Auto-router pass #36 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.33 seconds with the score of 897.50 (17 unrouted), using 115.33 CPU seconds and 12673 MB memory.
2026-09-12 18:08:51.893 INFO   [671444\548EEF] Auto-router pass #37 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.33 seconds with the score of 897.50 (17 unrouted), using 115.33 CPU seconds and 12673 MB memory.
2026-09-12 18:08:52.234 INFO   [671444\548EEF] Auto-router pass #38 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.34 seconds with the score of 897.50 (17 unrouted), using 115.33 CPU seconds and 12673 MB memory.
2026-09-12 18:08:52.603 INFO   [671444\548EEF] Auto-router pass #39 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.36 seconds with the score of 897.50 (17 unrouted), using 130.95 CPU seconds and 13610 MB memory.
2026-09-12 18:08:52.987 INFO   [671444\548EEF] Auto-router pass #40 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.38 seconds with the score of 897.50 (17 unrouted), using 130.95 CPU seconds and 13610 MB memory.
2026-09-12 18:08:53.317 INFO   [671444\548EEF] Auto-router pass #41 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.32 seconds with the score of 897.50 (17 unrouted), using 130.95 CPU seconds and 13610 MB memory.
2026-09-12 18:08:53.668 INFO   [671444\548EEF] Auto-router pass #42 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.35 seconds with the score of 897.50 (17 unrouted), using 147.56 CPU seconds and 14522 MB memory.
2026-09-12 18:08:54.030 INFO   [671444\548EEF] Auto-router pass #43 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.35 seconds with the score of 897.50 (17 unrouted), using 147.56 CPU seconds and 14522 MB memory.
2026-09-12 18:08:54.411 INFO   [671444\548EEF] Auto-router pass #44 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.38 seconds with the score of 897.50 (17 unrouted), using 147.56 CPU seconds and 14522 MB memory.
2026-09-12 18:08:54.762 INFO   [671444\548EEF] Auto-router pass #45 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.34 seconds with the score of 897.50 (17 unrouted), using 165.16 CPU seconds and 15417 MB memory.
2026-09-12 18:08:55.101 INFO   [671444\548EEF] Auto-router pass #46 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.34 seconds with the score of 897.50 (17 unrouted), using 165.16 CPU seconds and 15417 MB memory.
2026-09-12 18:08:55.437 INFO   [671444\548EEF] Auto-router pass #47 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.33 seconds with the score of 897.50 (17 unrouted), using 165.16 CPU seconds and 15417 MB memory.
2026-09-12 18:08:55.803 INFO   [671444\548EEF] Auto-router pass #48 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.36 seconds with the score of 897.50 (17 unrouted), using 183.76 CPU seconds and 16358 MB memory.
2026-09-12 18:08:56.147 INFO   [671444\548EEF] Auto-router pass #49 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.34 seconds with the score of 897.50 (17 unrouted), using 183.76 CPU seconds and 16358 MB memory.
2026-09-12 18:08:56.472 INFO   [671444\548EEF] Auto-router pass #50 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.32 seconds with the score of 897.50 (17 unrouted), using 203.35 CPU seconds and 17310 MB memory.
2026-09-12 18:08:56.798 INFO   [671444\548EEF] Auto-router pass #51 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.32 seconds with the score of 897.50 (17 unrouted), using 203.35 CPU seconds and 17310 MB memory.
2026-09-12 18:08:57.192 INFO   [671444\548EEF] Auto-router pass #52 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.39 seconds with the score of 897.50 (17 unrouted), using 203.35 CPU seconds and 17310 MB memory.
2026-09-12 18:08:57.546 INFO   [671444\548EEF] Auto-router pass #53 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.35 seconds with the score of 897.50 (17 unrouted), using 223.94 CPU seconds and 18224 MB memory.
2026-09-12 18:08:57.893 INFO   [671444\548EEF] Auto-router pass #54 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.34 seconds with the score of 897.50 (17 unrouted), using 223.94 CPU seconds and 18224 MB memory.
2026-09-12 18:08:58.241 INFO   [671444\548EEF] Auto-router pass #55 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.34 seconds with the score of 897.50 (17 unrouted), using 223.94 CPU seconds and 18224 MB memory.
2026-09-12 18:08:58.620 INFO   [671444\548EEF] Auto-router pass #56 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.37 seconds with the score of 897.50 (17 unrouted), using 245.52 CPU seconds and 19150 MB memory.
2026-09-12 18:08:59.015 INFO   [671444\548EEF] Auto-router pass #57 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.39 seconds with the score of 897.50 (17 unrouted), using 245.52 CPU seconds and 19150 MB memory.
2026-09-12 18:08:59.390 INFO   [671444\548EEF] Auto-router pass #58 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.37 seconds with the score of 897.50 (17 unrouted), using 245.52 CPU seconds and 19150 MB memory.
2026-09-12 18:08:59.749 INFO   [671444\548EEF] Auto-router pass #59 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.35 seconds with the score of 897.50 (17 unrouted), using 268.09 CPU seconds and 19991 MB memory.
2026-09-12 18:09:00.132 INFO   [671444\548EEF] Auto-router pass #60 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.38 seconds with the score of 897.50 (17 unrouted), using 268.09 CPU seconds and 19991 MB memory.
2026-09-12 18:09:00.491 INFO   [671444\548EEF] Auto-router pass #61 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.35 seconds with the score of 897.50 (17 unrouted), using 291.66 CPU seconds and 20879 MB memory.
2026-09-12 18:09:00.831 INFO   [671444\548EEF] Auto-router pass #62 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.34 seconds with the score of 897.50 (17 unrouted), using 291.66 CPU seconds and 20879 MB memory.
2026-09-12 18:09:01.162 INFO   [671444\548EEF] Auto-router pass #63 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.33 seconds with the score of 897.50 (17 unrouted), using 291.66 CPU seconds and 20879 MB memory.
2026-09-12 18:09:01.537 INFO   [671444\548EEF] Auto-router pass #64 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.37 seconds with the score of 897.50 (17 unrouted), using 316.23 CPU seconds and 21826 MB memory.
2026-09-12 18:09:01.882 INFO   [671444\548EEF] Auto-router pass #65 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.34 seconds with the score of 897.50 (17 unrouted), using 316.23 CPU seconds and 21826 MB memory.
2026-09-12 18:09:02.280 INFO   [671444\548EEF] Auto-router pass #66 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.39 seconds with the score of 897.50 (17 unrouted), using 316.23 CPU seconds and 21826 MB memory.
2026-09-12 18:09:02.642 INFO   [671444\548EEF] Auto-router pass #67 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.35 seconds with the score of 897.50 (17 unrouted), using 341.78 CPU seconds and 22693 MB memory.
2026-09-12 18:09:03.032 INFO   [671444\548EEF] Auto-router pass #68 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.39 seconds with the score of 897.50 (17 unrouted), using 341.78 CPU seconds and 22693 MB memory.
2026-09-12 18:09:03.377 INFO   [671444\548EEF] Auto-router pass #69 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.34 seconds with the score of 897.50 (17 unrouted), using 341.78 CPU seconds and 22693 MB memory.
2026-09-12 18:09:03.737 INFO   [671444\548EEF] Auto-router pass #70 on board '51ab4b970fb10d7d451c0f5052aeff80' was completed in 0.35 seconds with the score of 897.50 (17 unrouted), using 368.34 CPU seconds and 23590 MB memory.
